[info] welcome to sbt 1.12.11 (Eclipse Adoptium Java 21.0.11)
[info] loading global plugins from /Users/mariocallisto/.sbt/1.0/plugins
[info] loading settings for project uniform-tilings-build from plugins.sbt...
[info] loading project definition from /Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/project
[info] loading settings for project root from build.sbt...
[info] set current project to uniform-tilings (in build file:/Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/)
[info] compiling 1 Scala source to /Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/core/target/scala-3.8.4/classes ...
[info] done compiling
  [relaxed maxSize=24] 2161s  dsets=959915 (444/s)  distinct=1005
  [relaxed maxSize=24] 2176s  dsets=960109 (441/s)  distinct=1005
  [relaxed maxSize=24] 2191s  dsets=962040 (439/s)  distinct=1009
  [relaxed maxSize=24] 2206s  dsets=963177 (436/s)  distinct=1014
  [relaxed maxSize=24] 2221s  dsets=963542 (433/s)  distinct=1018
  [relaxed maxSize=24] 2236s  dsets=964594 (431/s)  distinct=1018
  [relaxed maxSize=24] 2251s  dsets=966392 (429/s)  distinct=1018
  [relaxed maxSize=24] 2266s  dsets=968896 (427/s)  distinct=1018
  [relaxed maxSize=24] 2281s  dsets=970418 (425/s)  distinct=1018
  [relaxed maxSize=24] 2296s  dsets=972710 (423/s)  distinct=1021
  [relaxed maxSize=24] 2311s  dsets=974543 (421/s)  distinct=1021
  [relaxed maxSize=24] 2326s  dsets=977592 (420/s)  distinct=1024
  [relaxed maxSize=24] 2341s  dsets=980954 (419/s)  distinct=1027
  [relaxed maxSize=24] 2356s  dsets=984972 (418/s)  distinct=1027
  [relaxed maxSize=24] 2371s  dsets=988863 (417/s)  distinct=1028
  [relaxed maxSize=24] 2386s  dsets=992360 (415/s)  distinct=1028
  [relaxed maxSize=24] 2401s  dsets=995095 (414/s)  distinct=1030
  [relaxed maxSize=24] 2416s  dsets=995869 (412/s)  distinct=1030
  [relaxed maxSize=24] 2431s  dsets=997435 (410/s)  distinct=1030
  [relaxed maxSize=24] 2446s  dsets=998841 (408/s)  distinct=1030
  [relaxed maxSize=24] 2461s  dsets=998988 (405/s)  distinct=1031
  [relaxed maxSize=24] 2476s  dsets=1002353 (404/s)  distinct=1032
  [relaxed maxSize=24] 2491s  dsets=1004053 (403/s)  distinct=1037
  [relaxed maxSize=24] 2506s  dsets=1006011 (401/s)  distinct=1053
  [relaxed maxSize=24] 2521s  dsets=1010200 (400/s)  distinct=1092
  [relaxed maxSize=24] 2536s  dsets=1016223 (400/s)  distinct=1093
  [relaxed maxSize=24] 2551s  dsets=1022633 (400/s)  distinct=1096
  [relaxed maxSize=24] 2566s  dsets=1038040 (404/s)  distinct=1106
  [relaxed maxSize=24] 2581s  dsets=1061730 (411/s)  distinct=1112
  [relaxed maxSize=24] 2596s  dsets=1087525 (418/s)  distinct=1114
  [relaxed maxSize=24] 2611s  dsets=1113157 (426/s)  distinct=1144
  [relaxed maxSize=24] 2626s  dsets=1141411 (434/s)  distinct=1148
  [relaxed maxSize=24] 2641s  dsets=1160158 (439/s)  distinct=1148
  [relaxed maxSize=24] 2656s  dsets=1173912 (442/s)  distinct=1149
  [relaxed maxSize=24] 2671s  dsets=1181503 (442/s)  distinct=1153
  [relaxed maxSize=24] 2686s  dsets=1188184 (442/s)  distinct=1158
  [relaxed maxSize=24] 2701s  dsets=1197373 (443/s)  distinct=1163
  [relaxed maxSize=24] 2716s  dsets=1205975 (444/s)  distinct=1173
  [relaxed maxSize=24] 2731s  dsets=1214024 (444/s)  distinct=1185
  [relaxed maxSize=24] 2746s  dsets=1219191 (443/s)  distinct=1185
