[info] welcome to sbt 1.12.11 (Eclipse Adoptium Java 21.0.11)
[info] loading global plugins from /Users/mariocallisto/.sbt/1.0/plugins
[info] loading settings for project uniform-tilings-build from plugins.sbt...
[info] loading project definition from /Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/project
[info] loading settings for project root from build.sbt...
[info] set current project to uniform-tilings (in build file:/Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/)
[warn] Getting the hostname MacBook-Pro-di-Mario.local was slow (5002.237045 ms). This is likely because the computer's hostname is not set. You can set the hostname with the command: scutil --set HostName "$(scutil --get LocalHostName).local".
  [relaxed maxSize=24] 2327s  dsets=1180795 (507/s)  distinct=11795
  [relaxed maxSize=24] 2342s  dsets=1183989 (505/s)  distinct=11798
  [relaxed maxSize=24] 2357s  dsets=1185252 (502/s)  distinct=11818
  [relaxed maxSize=24] 2372s  dsets=1186869 (500/s)  distinct=11828
  [relaxed maxSize=24] 2387s  dsets=1196547 (501/s)  distinct=11877
  [relaxed maxSize=24] 2402s  dsets=1207965 (502/s)  distinct=11896
  [relaxed maxSize=24] 2417s  dsets=1216933 (503/s)  distinct=11919
  [relaxed maxSize=24] 2432s  dsets=1226390 (504/s)  distinct=11952
  [relaxed maxSize=24] 2447s  dsets=1245829 (509/s)  distinct=12379
  [relaxed maxSize=24] 2462s  dsets=1264982 (513/s)  distinct=12539
  [relaxed maxSize=24] 2477s  dsets=1272201 (513/s)  distinct=12611
  [relaxed maxSize=24] 2492s  dsets=1277846 (512/s)  distinct=12662
  [relaxed maxSize=24] 2507s  dsets=1282584 (511/s)  distinct=12697
  [relaxed maxSize=24] 2522s  dsets=1292418 (512/s)  distinct=12713
  [relaxed maxSize=24] 2537s  dsets=1298428 (511/s)  distinct=12714
  [relaxed maxSize=24] 2552s  dsets=1309448 (513/s)  distinct=13110
  [relaxed maxSize=24] 2567s  dsets=1312598 (511/s)  distinct=13154
  [relaxed maxSize=24] 2582s  dsets=1318488 (510/s)  distinct=13186
  [relaxed maxSize=24] 2597s  dsets=1320774 (508/s)  distinct=13198
  [relaxed maxSize=24] 2612s  dsets=1323432 (506/s)  distinct=13208
  [relaxed maxSize=24] 2627s  dsets=1326087 (504/s)  distinct=13216
  [relaxed maxSize=24] 2642s  dsets=1327547 (502/s)  distinct=13225
  [relaxed maxSize=24] 2657s  dsets=1330197 (500/s)  distinct=13234
  [relaxed maxSize=24] 2672s  dsets=1338231 (500/s)  distinct=13293
  [relaxed maxSize=24] 2687s  dsets=1343772 (500/s)  distinct=13394
  [relaxed maxSize=24] 2702s  dsets=1347043 (498/s)  distinct=13456
  [relaxed maxSize=24] 2717s  dsets=1348684 (496/s)  distinct=13503
  [relaxed maxSize=24] 2732s  dsets=1355577 (496/s)  distinct=13566
  [relaxed maxSize=24] 2747s  dsets=1361890 (495/s)  distinct=13576
